time	level_y	level_p4	level_se4
1947m1			
1947m2			
1947m3			
1947m4			
1947m5			
1947m6			
1947m7			
1947m8			
1947m9			
1947m10			
1947m11			
1947m12			
1948m1			
1948m2			
1948m3			
1948m4			
1948m5			
1948m6			
1948m7			
1948m8			
1948m9			
1948m10			
1948m11			
1948m12			
1949m1			
1949m2			
1949m3			
1949m4			
1949m5			
1949m6			
1949m7			
1949m8			
1949m9			
1949m10			
1949m11			
1949m12			
1950m1			
1950m2			
1950m3			
1950m4			
1950m5			
1950m6			
1950m7			
1950m8			
1950m9			
1950m10			
1950m11			
1950m12			
1951m1			
1951m2			
1951m3			
1951m4			
1951m5			
1951m6			
1951m7			
1951m8			
1951m9			
1951m10			
1951m11			
1951m12			
1952m1			
1952m2			
1952m3			
1952m4			
1952m5			
1952m6			
1952m7			
1952m8			
1952m9			
1952m10			
1952m11			
1952m12			
1953m1			
1953m2			
1953m3			
1953m4			
1953m5			
1953m6			
1953m7			
1953m8			
1953m9			
1953m10			
1953m11			
1953m12			
1954m1			
1954m2			
1954m3			
1954m4			
1954m5			
1954m6			
1954m7			
1954m8			
1954m9			
1954m10			
1954m11			
1954m12			
1955m1			
1955m2			
1955m3			
1955m4			
1955m5			
1955m6			
1955m7			
1955m8			
1955m9			
1955m10			
1955m11			
1955m12			
1956m1			
1956m2			
1956m3			
1956m4			
1956m5			
1956m6			
1956m7			
1956m8			
1956m9			
1956m10			
1956m11			
1956m12			
1957m1			
1957m2			
1957m3			
1957m4			
1957m5			
1957m6			
1957m7			
1957m8			
1957m9			
1957m10			
1957m11			
1957m12			
1958m1			
1958m2			
1958m3			
1958m4			
1958m5			
1958m6			
1958m7			
1958m8			
1958m9			
1958m10			
1958m11			
1958m12			
1959m1			
1959m2			
1959m3			
1959m4			
1959m5			
1959m6			
1959m7			
1959m8			
1959m9			
1959m10			
1959m11			
1959m12			
1960m1			
1960m2			
1960m3			
1960m4			
1960m5			
1960m6			
1960m7			
1960m8			
1960m9			
1960m10			
1960m11			
1960m12			
1961m1			
1961m2			
1961m3			
1961m4			
1961m5			
1961m6			
1961m7			
1961m8			
1961m9			
1961m10			
1961m11			
1961m12			
1962m1			
1962m2			
1962m3			
1962m4			
1962m5			
1962m6			
1962m7			
1962m8			
1962m9			
1962m10			
1962m11			
1962m12			
1963m1			
1963m2			
